State/UTs_Code,District_Code,CD Block_Code,Town/Village_Code,Ward_Code,EB_Code,State/UTs_Name,District_Name,Level,Name,Total/Rural/Urban,No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Population in the age group 0-6 Male,Population in the age group 0-6 Female,Scheduled Castes population Person,Scheduled Castes population Male,Scheduled Castes population Female,Scheduled Tribes population Person,Scheduled Tribes population Male,Scheduled Tribes population Female,Literates Population Person,Literates Population Male,Literates Population Female,Illiterate Persons,Illiterate Male,Illiterate Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Working Population Person,Main Working Population Male,Main Working Population Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female,Marginal Worker Population Person,Marginal Worker Population Male,Marginal Worker Population Female,Marginal Cultivator Population Person,Marginal Cultivator Population Male,Marginal Cultivator Population Female,Marginal Agriculture Labourers Population Person,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Female,Marginal Household Industries Population Person,Marginal Household Industries Population Male,Marginal Household Industries Population Female,Marginal Other Workers Population Person,Marginal Other Workers Population Male,Marginal Other Workers Population Female,Marginal Worker Population 3_6 Person,Marginal Worker Population 3_6 Male,Marginal Worker Population 3_6 Female,Marginal Cultivator Population 3_6 Person,Marginal Cultivator Population 3_6 Male,Marginal Cultivator Population 3_6 Female,Marginal Agriculture Labourers Population 3_6 Person,Marginal Agriculture Labourers Population 3_6 Male,Marginal Agriculture Labourers Population 3_6 Female,Marginal Household Industries Population 3_6 Person,Marginal Household Industries Population 3_6 Male,Marginal Household Industries Population 3-6 Female,Marginal Other Workers Population Person 3_6 Person,Marginal Other Workers Population Person 3_6 Male,Marginal Other Workers Population Person 3_6 Female,Marginal Worker Population 0_3 Person,Marginal Worker Population 0_3 Male,Marginal Worker Population 0_3_Female,Marginal Cultivator Population 0_3 Person,Marginal Cultivator Population 0_3 Male,Marginal Cultivator Population 0_3_Female,Marginal Agriculture Labourers Population 0_3 Person,Marginal Agriculture Labourers Population 0_3 Male,Marginal Agriculture Labourers Population 0_3 Female,Marginal Household Industries Population 0_3 Person,Marginal Household Industries Population 0_3 Male,Marginal Household Industries Population 0_3 Female,Marginal Other Workers Population 0_3 Person,Marginal Other Workers Population 0_3 Male,Marginal Other Workers Population 0_3 Female,Non Working Population Person,Non Working Population Male,Non Working Population Female
32,595,0069,000000,0000,000000,KERALA,Ernakulam,CD BLOCK,Parakkadavu (Part),Total,35144,139853,68464,71389,12758,6496,6262,15081,7390,7691,251,121,130,120496,59913,60583,19357,8551,10806,51627,38042,13585,42830,33411,9419,1675,1413,262,3074,2109,965,974,781,193,37107,29108,7999,8797,4631,4166,446,236,210,1132,545,587,285,148,137,6934,3702,3232,6884,3830,3054,324,187,137,900,429,471,228,130,98,5432,3084,2348,1913,801,1112,122,49,73,232,116,116,57,18,39,1502,618,884,88226,30422,57804
32,595,0069,000000,0000,000000,KERALA,Ernakulam,CD BLOCK,Parakkadavu (Part),Rural,11930,47199,23012,24187,4330,2185,2145,4843,2358,2485,94,48,46,40772,20184,20588,6427,2828,3599,18376,13173,5203,15139,11552,3587,1154,939,215,1812,1214,598,390,317,73,11783,9082,2701,3237,1621,1616,343,164,179,683,295,388,102,41,61,2109,1121,988,2597,1356,1241,239,126,113,540,221,319,73,33,40,1745,976,769,640,265,375,104,38,66,143,74,69,29,8,21,364,145,219,28823,9839,18984
32,595,0069,000000,0000,000000,KERALA,Ernakulam,CD BLOCK,Parakkadavu (Part),Urban,23214,92654,45452,47202,8428,4311,4117,10238,5032,5206,157,73,84,79724,39729,39995,12930,5723,7207,33251,24869,8382,27691,21859,5832,521,474,47,1262,895,367,584,464,120,25324,20026,5298,5560,3010,2550,103,72,31,449,250,199,183,107,76,4825,2581,2244,4287,2474,1813,85,61,24,360,208,152,155,97,58,3687,2108,1579,1273,536,737,18,11,7,89,42,47,28,10,18,1138,473,665,59403,20583,38820
32,595,0069,627964,0000,000000,KERALA,Ernakulam,VILLAGE,Parakkadavu,Rural,7862,30766,15042,15724,2726,1340,1386,2942,1438,1504,75,36,39,26743,13303,13440,4023,1739,2284,12175,8656,3519,9897,7550,2347,824,647,177,1078,737,341,263,203,60,7732,5963,1769,2278,1106,1172,299,143,156,480,188,292,78,25,53,1421,750,671,1810,930,880,204,112,92,393,152,241,56,21,35,1157,645,512,468,176,292,95,31,64,87,36,51,22,4,18,264,105,159,18591,6386,12205
32,595,0069,627981,0000,000000,KERALA,Ernakulam,VILLAGE,Kunnukara,Rural,4068,16433,7970,8463,1604,845,759,1901,920,981,19,12,7,14029,6881,7148,2404,1089,1315,6201,4517,1684,5242,4002,1240,330,292,38,734,477,257,127,114,13,4051,3119,932,959,515,444,44,21,23,203,107,96,24,16,8,688,371,317,787,426,361,35,14,21,147,69,78,17,12,5,588,331,257,172,89,83,9,7,2,56,38,18,7,4,3,100,40,60,10232,3453,6779
32,595,0069,627975,0000,000000,KERALA,Ernakulam,TOWN,Nedumbassery (CT),Urban,7560,29706,14726,14980,2421,1214,1207,4072,2016,2056,78,35,43,25846,13042,12804,3860,1684,2176,10831,8062,2769,9391,7268,2123,209,197,12,481,356,125,108,85,23,8593,6630,1963,1440,794,646,34,28,6,170,93,77,22,7,15,1214,666,548,1215,682,533,25,21,4,154,84,70,22,7,15,1014,570,444,225,112,113,9,7,2,16,9,7,0,0,0,200,96,104,18875,6664,12211
32,595,0069,627976,0000,000000,KERALA,Ernakulam,TOWN,Chengamanad (CT),Urban,7275,29576,14475,15101,2934,1483,1451,2377,1159,1218,29,16,13,25132,12551,12581,4444,1924,2520,10051,7726,2325,8378,6735,1643,146,135,11,215,170,45,271,220,51,7746,6210,1536,1673,991,682,18,10,8,120,70,50,77,46,31,1458,865,593,1383,866,517,17,9,8,82,51,31,63,41,22,1221,765,456,290,125,165,1,1,0,38,19,19,14,5,9,237,100,137,19525,6749,12776
32,595,0069,627983,0000,000000,KERALA,Ernakulam,TOWN,Puthenvelikkara (CT),Urban,8379,33372,16251,17121,3073,1614,1459,3789,1857,1932,50,22,28,28746,14136,14610,4626,2115,2511,12369,9081,3288,9922,7856,2066,166,142,24,566,369,197,205,159,46,8985,7186,1799,2447,1225,1222,51,34,17,159,87,72,84,54,30,2153,1050,1103,1689,926,763,43,31,12,124,73,51,70,49,21,1452,773,679,758,299,459,8,3,5,35,14,21,14,5,9,701,277,424,21003,7170,13833
32,595,0073,000000,0000,000000,KERALA,Ernakulam,CD BLOCK,Chalakudy (Part),Total,121,348,182,166,50,30,20,0,0,0,348,182,166,91,59,32,257,123,134,236,128,108,107,57,50,39,34,5,37,8,29,0,0,0,31,15,16,129,71,58,2,1,1,0,0,0,0,0,0,127,70,57,58,55,3,2,1,1,0,0,0,0,0,0,56,54,2,71,16,55,0,0,0,0,0,0,0,0,0,71,16,55,112,54,58
32,595,0073,000000,0000,000000,KERALA,Ernakulam,CD BLOCK,Chalakudy (Part),Rural,121,348,182,166,50,30,20,0,0,0,348,182,166,91,59,32,257,123,134,236,128,108,107,57,50,39,34,5,37,8,29,0,0,0,31,15,16,129,71,58,2,1,1,0,0,0,0,0,0,127,70,57,58,55,3,2,1,1,0,0,0,0,0,0,56,54,2,71,16,55,0,0,0,0,0,0,0,0,0,71,16,55,112,54,58
32,595,0073,000000,0000,000000,KERALA,Ernakulam,CD BLOCK,Chalakudy (Part),Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,595,0073,628041,0000,000000,KERALA,Ernakulam,VILLAGE,Kuttampuzha (Part),Rural,121,348,182,166,50,30,20,0,0,0,348,182,166,91,59,32,257,123,134,236,128,108,107,57,50,39,34,5,37,8,29,0,0,0,31,15,16,129,71,58,2,1,1,0,0,0,0,0,0,127,70,57,58,55,3,2,1,1,0,0,0,0,0,0,56,54,2,71,16,55,0,0,0,0,0,0,0,0,0,71,16,55,112,54,58
32,595,0074,000000,0000,000000,KERALA,Ernakulam,CD BLOCK,Koovappady,Total,38960,155752,77173,78579,14209,7236,6973,16043,7812,8231,601,307,294,134322,67676,66646,21430,9497,11933,62779,43982,18797,49903,37449,12454,4584,3924,660,6301,3946,2355,1131,842,289,37887,28737,9150,12876,6533,6343,970,599,371,3246,1588,1658,449,218,231,8211,4128,4083,10078,5489,4589,806,495,311,2576,1261,1315,334,166,168,6362,3567,2795,2798,1044,1754,164,104,60,670,327,343,115,52,63,1849,561,1288,92973,33191,59782
32,595,0074,000000,0000,000000,KERALA,Ernakulam,CD BLOCK,Koovappady,Rural,25218,100384,49650,50734,8727,4435,4292,11926,5829,6097,517,261,256,86700,43671,43029,13684,5979,7705,41391,28625,12766,32626,24233,8393,3653,3079,574,4731,2852,1879,558,419,139,23684,17883,5801,8765,4392,4373,844,513,331,2649,1274,1375,325,164,161,4947,2441,2506,6888,3674,3214,695,422,273,2135,1038,1097,227,118,109,3831,2096,1735,1877,718,1159,149,91,58,514,236,278,98,46,52,1116,345,771,58993,21025,37968
32,595,0074,000000,0000,000000,KERALA,Ernakulam,CD BLOCK,Koovappady,Urban,13742,55368,27523,27845,5482,2801,2681,4117,1983,2134,84,46,38,47622,24005,23617,7746,3518,4228,21388,15357,6031,17277,13216,4061,931,845,86,1570,1094,476,573,423,150,14203,10854,3349,4111,2141,1970,126,86,40,597,314,283,124,54,70,3264,1687,1577,3190,1815,1375,111,73,38,441,223,218,107,48,59,2531,1471,1060,921,326,595,15,13,2,156,91,65,17,6,11,733,216,517,33980,12166,21814
32,595,0074,627941,0000,000000,KERALA,Ernakulam,VILLAGE,Kodanad,Rural,3502,14244,7036,7208,1284,655,629,2066,1005,1061,106,53,53,12054,6090,5964,2190,946,1244,5842,4052,1790,4297,3251,1046,397,352,45,618,403,215,92,72,20,3190,2424,766,1545,801,744,116,78,38,484,232,252,114,42,72,831,449,382,1176,643,533,92,61,31,373,183,190,63,27,36,648,372,276,369,158,211,24,17,7,111,49,62,51,15,36,183,77,106,8402,2984,5418
