State/UTs_Code,District_Code,CD Block_Code,Town/Village_Code,Ward_Code,EB_Code,State/UTs_Name,District_Name,Level,Name,Total/Rural/Urban,No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Population in the age group 0-6 Male,Population in the age group 0-6 Female,Scheduled Castes population Person,Scheduled Castes population Male,Scheduled Castes population Female,Scheduled Tribes population Person,Scheduled Tribes population Male,Scheduled Tribes population Female,Literates Population Person,Literates Population Male,Literates Population Female,Illiterate Persons,Illiterate Male,Illiterate Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Working Population Person,Main Working Population Male,Main Working Population Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female,Marginal Worker Population Person,Marginal Worker Population Male,Marginal Worker Population Female,Marginal Cultivator Population Person,Marginal Cultivator Population Male,Marginal Cultivator Population Female,Marginal Agriculture Labourers Population Person,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Female,Marginal Household Industries Population Person,Marginal Household Industries Population Male,Marginal Household Industries Population Female,Marginal Other Workers Population Person,Marginal Other Workers Population Male,Marginal Other Workers Population Female,Marginal Worker Population 3_6 Person,Marginal Worker Population 3_6 Male,Marginal Worker Population 3_6 Female,Marginal Cultivator Population 3_6 Person,Marginal Cultivator Population 3_6 Male,Marginal Cultivator Population 3_6 Female,Marginal Agriculture Labourers Population 3_6 Person,Marginal Agriculture Labourers Population 3_6 Male,Marginal Agriculture Labourers Population 3_6 Female,Marginal Household Industries Population 3_6 Person,Marginal Household Industries Population 3_6 Male,Marginal Household Industries Population 3-6 Female,Marginal Other Workers Population Person 3_6 Person,Marginal Other Workers Population Person 3_6 Male,Marginal Other Workers Population Person 3_6 Female,Marginal Worker Population 0_3 Person,Marginal Worker Population 0_3 Male,Marginal Worker Population 0_3_Female,Marginal Cultivator Population 0_3 Person,Marginal Cultivator Population 0_3 Male,Marginal Cultivator Population 0_3_Female,Marginal Agriculture Labourers Population 0_3 Person,Marginal Agriculture Labourers Population 0_3 Male,Marginal Agriculture Labourers Population 0_3 Female,Marginal Household Industries Population 0_3 Person,Marginal Household Industries Population 0_3 Male,Marginal Household Industries Population 0_3 Female,Marginal Other Workers Population 0_3 Person,Marginal Other Workers Population 0_3 Male,Marginal Other Workers Population 0_3 Female,Non Working Population Person,Non Working Population Male,Non Working Population Female
32,591,0017,000000,0000,000000,KERALA,Kozhikode,CD BLOCK,Vadakara,Total,28182,131576,60595,70981,14270,7243,7027,2602,1233,1369,254,114,140,111811,51946,59865,19765,8649,11116,35651,29093,6558,29642,25287,4355,213,177,36,1100,838,262,370,308,62,27959,23964,3995,6009,3806,2203,101,52,49,458,276,182,117,77,40,5333,3401,1932,4658,3081,1577,91,45,46,354,229,125,90,63,27,4123,2744,1379,1351,725,626,10,7,3,104,47,57,27,14,13,1210,657,553,95925,31502,64423
32,591,0017,000000,0000,000000,KERALA,Kozhikode,CD BLOCK,Vadakara,Rural,6289,28650,13224,15426,2950,1527,1423,393,179,214,48,21,27,24615,11392,13223,4035,1832,2203,7717,6458,1259,6404,5543,861,97,74,23,128,107,21,51,44,7,6128,5318,810,1313,915,398,48,23,25,81,53,28,44,36,8,1140,803,337,1078,796,282,41,18,23,62,45,17,36,32,4,939,701,238,235,119,116,7,5,2,19,8,11,8,4,4,201,102,99,20933,6766,14167
32,591,0017,000000,0000,000000,KERALA,Kozhikode,CD BLOCK,Vadakara,Urban,21893,102926,47371,55555,11320,5716,5604,2209,1054,1155,206,93,113,87196,40554,46642,15730,6817,8913,27934,22635,5299,23238,19744,3494,116,103,13,972,731,241,319,264,55,21831,18646,3185,4696,2891,1805,53,29,24,377,223,154,73,41,32,4193,2598,1595,3580,2285,1295,50,27,23,292,184,108,54,31,23,3184,2043,1141,1116,606,510,3,2,1,85,39,46,19,10,9,1009,555,454,74992,24736,50256
32,591,0017,627341,0000,000000,KERALA,Kozhikode,VILLAGE,Onchiam,Rural,6289,28650,13224,15426,2950,1527,1423,393,179,214,48,21,27,24615,11392,13223,4035,1832,2203,7717,6458,1259,6404,5543,861,97,74,23,128,107,21,51,44,7,6128,5318,810,1313,915,398,48,23,25,81,53,28,44,36,8,1140,803,337,1078,796,282,41,18,23,62,45,17,36,32,4,939,701,238,235,119,116,7,5,2,19,8,11,8,4,4,201,102,99,20933,6766,14167
32,591,0017,627359,0000,000000,KERALA,Kozhikode,TOWN,Eramala (CT),Urban,7722,34658,15858,18800,3805,1899,1906,801,367,434,50,22,28,29263,13606,15657,5395,2252,3143,9702,7487,2215,7579,6262,1317,75,68,7,632,474,158,76,65,11,6796,5655,1141,2123,1225,898,29,16,13,234,138,96,25,14,11,1835,1057,778,1585,936,649,27,14,13,196,123,73,17,11,6,1345,788,557,538,289,249,2,2,0,38,15,23,8,3,5,490,269,221,24956,8371,16585
32,591,0017,627360,0000,000000,KERALA,Kozhikode,TOWN,Azhiyur (CT),Urban,6082,30023,13595,16428,3380,1677,1703,716,349,367,76,37,39,25466,11567,13899,4557,2028,2529,7553,6394,1159,6560,5699,861,14,13,1,85,71,14,101,75,26,6360,5540,820,993,695,298,11,8,3,59,33,26,7,6,1,916,648,268,767,546,221,11,8,3,31,23,8,4,4,0,721,511,210,226,149,77,0,0,0,28,10,18,3,2,1,195,137,58,22470,7201,15269
32,591,0017,627361,0000,000000,KERALA,Kozhikode,TOWN,Chorode (CT),Urban,8089,38245,17918,20327,4135,2140,1995,692,338,354,80,34,46,32467,15381,17086,5778,2537,3241,10679,8754,1925,9099,7783,1316,27,22,5,255,186,69,142,124,18,8675,7451,1224,1580,971,609,13,5,8,84,52,32,41,21,20,1442,893,549,1228,803,425,12,5,7,65,38,27,33,16,17,1118,744,374,352,168,184,1,0,1,19,14,5,8,5,3,324,149,175,27566,9164,18402
32,591,0018,000000,0000,000000,KERALA,Kozhikode,CD BLOCK,Thuneri,Total,32123,145884,68097,77787,17932,8999,8933,2087,1048,1039,1770,896,874,117811,56855,60956,28073,11242,16831,38784,31479,7305,28797,24847,3950,734,669,65,2215,1809,406,388,341,47,25460,22028,3432,9987,6632,3355,382,263,119,1844,1113,731,155,113,42,7606,5143,2463,8174,5758,2416,295,223,72,1417,937,480,125,91,34,6337,4507,1830,1813,874,939,87,40,47,427,176,251,30,22,8,1269,636,633,107100,36618,70482
32,591,0018,000000,0000,000000,KERALA,Kozhikode,CD BLOCK,Thuneri,Rural,12688,57070,27041,30029,6831,3412,3419,684,336,348,1246,644,602,46534,22785,23749,10536,4256,6280,15649,12813,2836,11714,10039,1675,426,396,30,1042,876,166,129,119,10,10117,8648,1469,3935,2774,1161,213,166,47,693,511,182,96,75,21,2933,2022,911,3326,2417,909,183,143,40,560,426,134,80,61,19,2503,1787,716,609,357,252,30,23,7,133,85,48,16,14,2,430,235,195,41421,14228,27193
32,591,0018,000000,0000,000000,KERALA,Kozhikode,CD BLOCK,Thuneri,Urban,19435,88814,41056,47758,11101,5587,5514,1403,712,691,524,252,272,71277,34070,37207,17537,6986,10551,23135,18666,4469,17083,14808,2275,308,273,35,1173,933,240,259,222,37,15343,13380,1963,6052,3858,2194,169,97,72,1151,602,549,59,38,21,4673,3121,1552,4848,3341,1507,112,80,32,857,511,346,45,30,15,3834,2720,1114,1204,517,687,57,17,40,294,91,203,14,8,6,839,401,438,65679,22390,43289
