State/UTs_Code,District_Code,CD Block_Code,Town/Village_Code,Ward_Code,EB_Code,State/UTs_Name,District_Name,Level,Name,Total/Rural/Urban,No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Population in the age group 0-6 Male,Population in the age group 0-6 Female,Scheduled Castes population Person,Scheduled Castes population Male,Scheduled Castes population Female,Scheduled Tribes population Person,Scheduled Tribes population Male,Scheduled Tribes population Female,Literates Population Person,Literates Population Male,Literates Population Female,Illiterate Persons,Illiterate Male,Illiterate Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Working Population Person,Main Working Population Male,Main Working Population Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female,Marginal Worker Population Person,Marginal Worker Population Male,Marginal Worker Population Female,Marginal Cultivator Population Person,Marginal Cultivator Population Male,Marginal Cultivator Population Female,Marginal Agriculture Labourers Population Person,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Female,Marginal Household Industries Population Person,Marginal Household Industries Population Male,Marginal Household Industries Population Female,Marginal Other Workers Population Person,Marginal Other Workers Population Male,Marginal Other Workers Population Female,Marginal Worker Population 3_6 Person,Marginal Worker Population 3_6 Male,Marginal Worker Population 3_6 Female,Marginal Cultivator Population 3_6 Person,Marginal Cultivator Population 3_6 Male,Marginal Cultivator Population 3_6 Female,Marginal Agriculture Labourers Population 3_6 Person,Marginal Agriculture Labourers Population 3_6 Male,Marginal Agriculture Labourers Population 3_6 Female,Marginal Household Industries Population 3_6 Person,Marginal Household Industries Population 3_6 Male,Marginal Household Industries Population 3-6 Female,Marginal Other Workers Population Person 3_6 Person,Marginal Other Workers Population Person 3_6 Male,Marginal Other Workers Population Person 3_6 Female,Marginal Worker Population 0_3 Person,Marginal Worker Population 0_3 Male,Marginal Worker Population 0_3_Female,Marginal Cultivator Population 0_3 Person,Marginal Cultivator Population 0_3 Male,Marginal Cultivator Population 0_3_Female,Marginal Agriculture Labourers Population 0_3 Person,Marginal Agriculture Labourers Population 0_3 Male,Marginal Agriculture Labourers Population 0_3 Female,Marginal Household Industries Population 0_3 Person,Marginal Household Industries Population 0_3 Male,Marginal Household Industries Population 0_3 Female,Marginal Other Workers Population 0_3 Person,Marginal Other Workers Population 0_3 Male,Marginal Other Workers Population 0_3 Female,Non Working Population Person,Non Working Population Male,Non Working Population Female
32,593,0043,627602,0000,000000,KERALA,Palakkad,TOWN,Thirumittacode -II (CT),Urban,2851,12855,6000,6855,1530,746,784,1873,918,955,10,2,8,10274,4901,5373,2581,1099,1482,3614,2908,706,2950,2435,515,81,77,4,267,191,76,57,50,7,2545,2117,428,664,473,191,31,28,3,60,30,30,10,9,1,563,406,157,607,431,176,25,24,1,54,26,28,9,8,1,519,373,146,57,42,15,6,4,2,6,4,2,1,1,0,44,33,11,9241,3092,6149
32,593,0044,000000,0000,000000,KERALA,Palakkad,CD BLOCK,Pattambi,Total,60611,303037,144935,158102,39728,20207,19521,38930,19040,19890,399,184,215,246630,119325,127305,56407,25610,30797,83432,69300,14132,67860,57999,9861,3873,3590,283,8759,6508,2251,1385,1191,194,53843,46710,7133,15572,11301,4271,731,601,130,3436,2265,1171,374,245,129,11031,8190,2841,13167,9662,3505,641,523,118,2894,1927,967,263,179,84,9369,7033,2336,2405,1639,766,90,78,12,542,338,204,111,66,45,1662,1157,505,219605,75635,143970
32,593,0044,000000,0000,000000,KERALA,Palakkad,CD BLOCK,Pattambi,Rural,40955,206273,97837,108436,27520,13959,13561,25010,12177,12833,290,125,165,167322,80151,87171,38951,17686,21265,55060,45586,9474,45063,38401,6662,3360,3113,247,7040,5317,1723,1003,847,156,33660,29124,4536,9997,7185,2812,598,484,114,2500,1643,857,278,187,91,6621,4871,1750,8472,6190,2282,530,427,103,2104,1402,702,188,132,56,5650,4229,1421,1525,995,530,68,57,11,396,241,155,90,55,35,971,642,329,151213,52251,98962
32,593,0044,000000,0000,000000,KERALA,Palakkad,CD BLOCK,Pattambi,Urban,19656,96764,47098,49666,12208,6248,5960,13920,6863,7057,109,59,50,79308,39174,40134,17456,7924,9532,28372,23714,4658,22797,19598,3199,513,477,36,1719,1191,528,382,344,38,20183,17586,2597,5575,4116,1459,133,117,16,936,622,314,96,58,38,4410,3319,1091,4695,3472,1223,111,96,15,790,525,265,75,47,28,3719,2804,915,880,644,236,22,21,1,146,97,49,21,11,10,691,515,176,68392,23384,45008
32,593,0044,627567,0000,000000,KERALA,Palakkad,VILLAGE,Parudur,Rural,5410,26638,12597,14041,3401,1750,1651,4971,2402,2569,40,15,25,21508,10317,11191,5130,2280,2850,7746,6171,1575,6603,5529,1074,303,259,44,841,572,269,117,91,26,5342,4607,735,1143,642,501,92,68,24,275,97,178,22,13,9,754,464,290,1020,580,440,81,60,21,249,86,163,16,10,6,674,424,250,123,62,61,11,8,3,26,11,15,6,3,3,80,40,40,18892,6426,12466
32,593,0044,627568,0000,000000,KERALA,Palakkad,VILLAGE,Thiruvegapura,Rural,6518,33942,16425,17517,4522,2313,2209,3737,1843,1894,45,19,26,27493,13511,13982,6449,2914,3535,9230,7895,1335,7113,6248,865,542,519,23,937,744,193,127,111,16,5507,4874,633,2117,1647,470,96,75,21,357,258,99,40,17,23,1624,1297,327,1612,1287,325,87,66,21,284,211,73,26,13,13,1215,997,218,505,360,145,9,9,0,73,47,26,14,4,10,409,300,109,24712,8530,16182
32,593,0044,627569,0000,000000,KERALA,Palakkad,VILLAGE,Vilayur,Rural,4792,23389,10831,12558,3130,1599,1531,2572,1241,1331,56,23,33,18892,8793,10099,4497,2038,2459,6256,5019,1237,5325,4406,919,397,368,29,835,606,229,133,96,37,3960,3336,624,931,613,318,56,41,15,208,125,83,29,22,7,638,425,213,838,559,279,52,39,13,189,113,76,20,15,5,577,392,185,93,54,39,4,2,2,19,12,7,9,7,2,61,33,28,17133,5812,11321
32,593,0044,627570,0000,000000,KERALA,Palakkad,VILLAGE,Kulukkallur,Rural,5568,27971,13174,14797,3658,1832,1826,3490,1689,1801,38,15,23,22857,10875,11982,5114,2299,2815,7319,5918,1401,5381,4481,900,442,407,35,1147,891,256,139,121,18,3653,3062,591,1938,1437,501,90,78,12,669,484,185,66,48,18,1113,827,286,1581,1194,387,68,58,10,515,380,135,51,41,10,947,715,232,357,243,114,22,20,2,154,104,50,15,7,8,166,112,54,20652,7256,13396
32,593,0044,627571,0000,000000,KERALA,Palakkad,VILLAGE,Nellaya,Rural,7282,36146,16888,19258,5024,2531,2493,3670,1795,1875,30,17,13,29226,13703,15523,6920,3185,3735,9100,7643,1457,7851,6711,1140,668,634,34,1654,1287,367,187,163,24,5342,4627,715,1249,932,317,95,86,9,451,325,126,22,7,15,681,514,167,1099,841,258,89,80,9,404,303,101,17,5,12,589,453,136,150,91,59,6,6,0,47,22,25,5,2,3,92,61,31,27046,9245,17801
32,593,0044,627584,0000,000000,KERALA,Palakkad,VILLAGE,Vallapuzha,Rural,5282,28018,13424,14594,3943,2008,1935,2787,1353,1434,26,12,14,22605,10913,11692,5413,2511,2902,6915,6048,867,5505,4937,568,471,449,22,682,549,133,62,54,8,4290,3885,405,1410,1111,299,104,89,15,347,239,108,37,33,4,922,750,172,1305,1040,265,99,86,13,315,222,93,35,32,3,856,700,156,105,71,34,5,3,2,32,17,15,2,1,1,66,50,16,21103,7376,13727
