"State/UTs_Code","District_Code","CD Block_Code","Town/Village_Code","Ward_Code","EB_Code","State/UTs_Name","District_Name","Level","Name","Total/Rural/Urban","No of Households","Total Population Person","Total Population Male","Total Population Female","Population in the age group 0-6 Person","Population in the age group 0-6 Male","Population in the age group 0-6 Female","Scheduled Castes population Person","Scheduled Castes population Male","Scheduled Castes population Female","Scheduled Tribes population Person","Scheduled Tribes population Male","Scheduled Tribes population Female","Literates Population Person","Literates Population Male","Literates Population Female","Illiterate Persons","Illiterate Male","Illiterate Female","Total Worker Population Person","Total Worker Population Male","Total Worker Population Female","Main Working Population Person","Main Working Population Male","Main Working Population Female","Main Cultivator Population Person","Main Cultivator Population Male","Main Cultivator Population Female","Main Agricultural Labourers Population Person","Main Agricultural Labourers Population Male","Main Agricultural Labourers Population Female","Main Household Industries Population Person","Main Household Industries Population Male","Main Household Industries Population Female","Main Other Workers Population Person","Main Other Workers Population Male","Main Other Workers Population Female","Marginal Worker Population Person","Marginal Worker Population Male","Marginal Worker Population Female","Marginal Cultivator Population Person","Marginal Cultivator Population Male","Marginal Cultivator Population Female","Marginal Agriculture Labourers Population Person","Marginal Agriculture Labourers Population Male","Marginal Agriculture Labourers Population Female","Marginal Household Industries Population Person","Marginal Household Industries Population Male","Marginal Household Industries Population Female","Marginal Other Workers Population Person","Marginal Other Workers Population Male","Marginal Other Workers Population Female","Marginal Worker Population 3_6 Person","Marginal Worker Population 3_6 Male","Marginal Worker Population 3_6 Female","Marginal Cultivator Population 3_6 Person","Marginal Cultivator Population 3_6 Male","Marginal Cultivator Population 3_6 Female","Marginal Agriculture Labourers Population 3_6 Person","Marginal Agriculture Labourers Population 3_6 Male","Marginal Agriculture Labourers Population 3_6 Female","Marginal Household Industries Population 3_6 Person","Marginal Household Industries Population 3_6 Male","Marginal Household Industries Population 3-6 Female","Marginal Other Workers Population Person 3_6 Person","Marginal Other Workers Population Person 3_6 Male","Marginal Other Workers Population Person 3_6 Female","Marginal Worker Population 0_3 Person","Marginal Worker Population 0_3 Male","Marginal Worker Population 0_3_Female","Marginal Cultivator Population 0_3 Person","Marginal Cultivator Population 0_3 Male","Marginal Cultivator Population 0_3_Female","Marginal Agriculture Labourers Population 0_3 Person","Marginal Agriculture Labourers Population 0_3 Male","Marginal Agriculture Labourers Population 0_3 Female","Marginal Household Industries Population 0_3 Person","Marginal Household Industries Population 0_3 Male","Marginal Household Industries Population 0_3 Female","Marginal Other Workers Population 0_3 Person","Marginal Other Workers Population 0_3 Male","Marginal Other Workers Population 0_3 Female","Non Working Population Person","Non Working Population Male","Non Working Population Female"
"32","590","0014","000000","0000","000000","KERALA","Wayanad","CD BLOCK","Mananthavady","Total","59484","260544","128752","131792","30351","15518","14833","6479","3287","3192","56335","27888","28447","203882","104546","99336","56662","24206","32456","106082","71851","34231","80964","59571","21393","16267","13889","2378","23078","15357","7721","790","569","221","40829","29756","11073","25118","12280","12838","2481","1299","1182","10917","5501","5416","408","176","232","11312","5304","6008","19617","10016","9601","1958","1066","892","8440","4496","3944","335","141","194","8884","4313","4571","5501","2264","3237","523","233","290","2477","1005","1472","73","35","38","2428","991","1437","154462","56901","97561"
"32","590","0014","000000","0000","000000","KERALA","Wayanad","CD BLOCK","Mananthavady","Rural","59484","260544","128752","131792","30351","15518","14833","6479","3287","3192","56335","27888","28447","203882","104546","99336","56662","24206","32456","106082","71851","34231","80964","59571","21393","16267","13889","2378","23078","15357","7721","790","569","221","40829","29756","11073","25118","12280","12838","2481","1299","1182","10917","5501","5416","408","176","232","11312","5304","6008","19617","10016","9601","1958","1066","892","8440","4496","3944","335","141","194","8884","4313","4571","5501","2264","3237","523","233","290","2477","1005","1472","73","35","38","2428","991","1437","154462","56901","97561"
"32","590","0014","000000","0000","000000","KERALA","Wayanad","CD BLOCK","Mananthavady","Urban","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","590","0014","627293","0000","000000","KERALA","Wayanad","VILLAGE","Thirunelly","Rural","2989","12878","6306","6572","1676","855","821","247","128","119","6746","3315","3431","8399","4424","3975","4479","1882","2597","6173","3652","2521","4213","2635","1578","187","164","23","2007","1185","822","13","11","2","2006","1275","731","1960","1017","943","28","24","4","1313","687","626","16","10","6","603","296","307","1713","918","795","25","21","4","1163","620","543","6","5","1","519","272","247","247","99","148","3","3","0","150","67","83","10","5","5","84","24","60","6705","2654","4051"
"32","590","0014","627294","0000","000000","KERALA","Wayanad","VILLAGE","Thrissilery","Rural","3913","16818","8267","8551","1846","983","863","233","115","118","6433","3120","3313","12501","6373","6128","4317","1894","2423","7079","4651","2428","5174","3693","1481","566","512","54","2473","1602","871","44","33","11","2091","1546","545","1905","958","947","54","34","20","568","262","306","10","2","8","1273","660","613","1639","858","781","48","29","19","501","241","260","10","2","8","1080","586","494","266","100","166","6","5","1","67","21","46","0","0","0","193","74","119","9739","3616","6123"
"32","590","0014","627295","0000","000000","KERALA","Wayanad","VILLAGE","Payyampally","Rural","3193","13311","6569","6742","1306","645","661","154","76","78","3646","1758","1888","10787","5499","5288","2524","1070","1454","6357","3987","2370","5176","3525","1651","1476","1192","284","1722","1050","672","52","33","19","1926","1250","676","1181","462","719","269","79","190","407","149","258","16","7","9","489","227","262","873","331","542","230","63","167","310","122","188","13","4","9","320","142","178","308","131","177","39","16","23","97","27","70","3","3","0","169","85","84","6954","2582","4372"
"32","590","0014","627296","0000","000000","KERALA","Wayanad","VILLAGE","Mananthavady","Rural","8183","34663","16899","17764","3852","1951","1901","1535","776","759","3855","1858","1997","28340","14122","14218","6323","2777","3546","13598","9402","4196","11335","8285","3050","1238","1068","170","1889","1294","595","136","89","47","8072","5834","2238","2263","1117","1146","97","57","40","674","304","370","49","30","19","1443","726","717","1978","1011","967","85","52","33","579","272","307","42","28","14","1272","659","613","285","106","179","12","5","7","95","32","63","7","2","5","171","67","104","21065","7497","13568"
"32","590","0014","627297","0000","000000","KERALA","Wayanad","VILLAGE","Thavinhal","Rural","4209","17840","8761","9079","1972","1003","969","1136","583","553","2875","1462","1413","14333","7239","7094","3507","1522","1985","7371","4892","2479","5509","3944","1565","1298","1056","242","1086","762","324","38","31","7","3087","2095","992","1862","948","914","276","155","121","562","288","274","16","7","9","1008","498","510","1567","808","759","254","143","111","512","269","243","12","5","7","789","391","398","295","140","155","22","12","10","50","19","31","4","2","2","219","107","112","10469","3869","6600"
"32","590","0014","627298","0000","000000","KERALA","Wayanad","VILLAGE","Periya","Rural","2571","11174","5574","5600","1125","598","527","359","173","186","2610","1310","1300","8797","4533","4264","2377","1041","1336","5092","3354","1738","4111","2816","1295","1546","1138","408","1011","674","337","47","34","13","1507","970","537","981","538","443","158","95","63","523","288","235","13","10","3","287","145","142","718","414","304","122","75","47","367","222","145","12","9","3","217","108","109","263","124","139","36","20","16","156","66","90","1","1","0","70","37","33","6082","2220","3862"
"32","590","0014","627299","0000","000000","KERALA","Wayanad","VILLAGE","Thondernad","Rural","2652","11752","5882","5870","1566","811","755","215","112","103","3101","1577","1524","8762","4616","4146","2990","1266","1724","4482","3111","1371","3027","2250","777","521","493","28","992","674","318","43","37","6","1471","1046","425","1455","861","594","109","83","26","831","490","341","30","19","11","485","269","216","1130","696","434","101","76","25","630","391","239","23","13","10","376","216","160","325","165","160","8","7","1","201","99","102","7","6","1","109","53","56","7270","2771","4499"
"32","590","0014","627300","0000","000000","KERALA","Wayanad","VILLAGE","Valat","Rural","2477","10799","5350","5449","1212","600","612","62","28","34","2191","1105","1086","8821","4508","4313","1978","842","1136","4422","3121","1301","3714","2877","837","1480","1247","233","1004","725","279","11","8","3","1219","897","322","708","244","464","194","77","117","212","81","131","1","0","1","301","86","215","516","201","315","134","64","70","168","72","96","1","0","1","213","65","148","192","43","149","60","13","47","44","9","35","0","0","0","88","21","67","6377","2229","4148"
"32","590","0014","627301","0000","000000","KERALA","Wayanad","VILLAGE","Edavaka","Rural","3727","16737","8245","8492","1960","995","965","274","144","130","2299","1129","1170","13482","6857","6625","3255","1388","1867","6056","4339","1717","4718","3664","1054","1173","959","214","1069","757","312","32","22","10","2444","1926","518","1338","675","663","167","109","58","741","327","414","9","2","7","421","237","184","697","345","352","107","63","44","349","162","187","5","1","4","236","119","117","641","330","311","60","46","14","392","165","227","4","1","3","185","118","67","10681","3906","6775"
"32","590","0014","627302","0000","000000","KERALA","Wayanad","VILLAGE","Nalloornad","Rural","3812","16928","8557","8371","1891","998","893","176","108","68","3113","1679","1434","13827","7140","6687","3101","1417","1684","6996","4705","2291","5065","3810","1255","808","730","78","1398","992","406","45","36","9","2814","2052","762","1931","895","1036","180","79","101","947","498","449","16","7","9","788","311","477","1475","674","801","118","47","71","674","369","305","11","4","7","672","254","418","456","221","235","62","32","30","273","129","144","5","3","2","116","57","59","9932","3852","6080"
"32","590","0014","627303","0000","000000","KERALA","Wayanad","VILLAGE","Cherukottur","Rural","2540","11462","5724","5738","1314","638","676","108","57","51","2397","1156","1241","8951","4708","4243","2511","1016","1495","4788","3174","1614","3194","2391","803","612","556","56","1067","692","375","53","33","20","1462","1110","352","1594","783","811","225","115","110","937","446","491","77","22","55","355","200","155","1248","656","592","163","79","84","709","376","333","75","21","54","301","180","121","346","127","219","62","36","26","228","70","158","2","1","1","54","20","34","6674","2550","4124"
"32","590","0014","627304","0000","000000","KERALA","Wayanad","VILLAGE","Panamaram","Rural","2916","12683","6219","6464","1512","762","750","590","282","308","3064","1467","1597","9727","4951","4776","2956","1268","1688","5292","3568","1724","4357","3124","1233","850","704","146","1431","852","579","60","41","19","2016","1527","489","935","444","491","114","58","56","517","247","270","23","9","14","281","130","151","747","373","374","97","52","45","393","198","195","22","9","13","235","114","121","188","71","117","17","6","11","124","49","75","1","0","1","46","16","30","7391","2651","4740"
"32","590","0014","627305","0000","000000","KERALA","Wayanad","VILLAGE","Anchukunnu (Part)","Rural","4302","19069","9513","9556","2140","1096","1044","246","128","118","4770","2380","2390","14961","7776","7185","4108","1737","2371","7625","5451","2174","5944","4574","1370","1030","958","72","1807","1268","539","31","23","8","3076","2325","751","1681","877","804","64","43","21","952","552","400","39","11","28","626","271","355","1442","806","636","58","40","18","840","519","321","30","10","20","514","237","277","239","71","168","6","3","3","112","33","79","9","1","8","112","34","78","11444","4062","7382"
"32","590","0014","627306","0000","000000","KERALA","Wayanad","VILLAGE","Porunnanore","Rural","4753","22137","10909","11228","2993","1494","1499","450","227","223","3909","1928","1981","16851","8767","8084","5286","2142","3144","8413","5938","2475","6077","4831","1246","1248","1119","129","2001","1426","575","94","76","18","2734","2210","524","2336","1107","1229","274","158","116","913","443","470","57","27","30","1092","479","613","1827","951","876","239","147","92","701","373","328","47","23","24","840","408","432","509","156","353","35","11","24","212","70","142","10","4","6","252","71","181","13724","4971","8753"
"32","590","0014","627307","0000","000000","KERALA","Wayanad","VILLAGE","Vellamunda","Rural","3946","18069","8888","9181","2386","1250","1136","344","177","167","2675","1288","1387","13916","7155","6761","4153","1733","2420","6221","4510","1711","4456","3661","795","799","747","52","816","595","221","58","37","21","2783","2282","501","1765","849","916","106","79","27","481","308","173","19","7","12","1159","455","704","1266","616","650","84","66","18","308","187","121","12","3","9","862","360","502","499","233","266","22","13","9","173","121","52","7","4","3","297","95","202","11848","4378","7470"
"32","590","0014","627308","0000","000000","KERALA","Wayanad","VILLAGE","Kanjirangad","Rural","2725","11811","5877","5934","1344","716","628","268","134","134","2067","1073","994","9493","4873","4620","2318","1004","1314","5091","3291","1800","3975","2820","1155","1195","1022","173","1052","661","391","29","23","6","1699","1114","585","1116","471","645","157","45","112","305","126","179","17","6","11","637","294","343","684","328","356","85","41","44","204","98","106","14","4","10","381","185","196","432","143","289","72","4","68","101","28","73","3","2","1","256","109","147","6720","2586","4134"
"32","590","0014","627309","0000","000000","KERALA","Wayanad","VILLAGE","Nadavayal (Part)","Rural","576","2413","1212","1201","256","123","133","82","39","43","584","283","301","1934","1005","929","479","207","272","1026","705","321","919","671","248","240","224","16","253","148","105","4","2","2","422","297","125","107","34","73","9","9","0","34","5","29","0","0","0","64","20","44","97","30","67","8","8","0","32","5","27","0","0","0","57","17","40","10","4","6","1","1","0","2","0","2","0","0","0","7","3","4","1387","507","880"
"32","590","0015","000000","0000","000000","KERALA","Wayanad","CD BLOCK","Kalpetta","Total","53293","234439","114173","120266","27936","14195","13741","14017","7032","6985","35840","17689","18151","183480","92732","90748","50959","21441","29518","92957","63064","29893","72474","53139","19335","8836","7592","1244","16258","10802","5456","769","573","196","46611","34172","12439","20483","9925","10558","1077","594","483","7547","3513","4034","461","225","236","11398","5593","5805","15587","7732","7855","854","475","379","5934","2735","3199","351","173","178","8448","4349","4099","4896","2193","2703","223","119","104","1613","778","835","110","52","58","2950","1244","1706","141482","51109","90373"
