"State/UTs_Code","District_Code","CD Block_Code","Town/Village_Code","Ward_Code","EB_Code","State/UTs_Name","District_Name","Level","Name","Total/Rural/Urban","No of Households","Total Population Person","Total Population Male","Total Population Female","Population in the age group 0-6 Person","Population in the age group 0-6 Male","Population in the age group 0-6 Female","Scheduled Castes population Person","Scheduled Castes population Male","Scheduled Castes population Female","Scheduled Tribes population Person","Scheduled Tribes population Male","Scheduled Tribes population Female","Literates Population Person","Literates Population Male","Literates Population Female","Illiterate Persons","Illiterate Male","Illiterate Female","Total Worker Population Person","Total Worker Population Male","Total Worker Population Female","Main Working Population Person","Main Working Population Male","Main Working Population Female","Main Cultivator Population Person","Main Cultivator Population Male","Main Cultivator Population Female","Main Agricultural Labourers Population Person","Main Agricultural Labourers Population Male","Main Agricultural Labourers Population Female","Main Household Industries Population Person","Main Household Industries Population Male","Main Household Industries Population Female","Main Other Workers Population Person","Main Other Workers Population Male","Main Other Workers Population Female","Marginal Worker Population Person","Marginal Worker Population Male","Marginal Worker Population Female","Marginal Cultivator Population Person","Marginal Cultivator Population Male","Marginal Cultivator Population Female","Marginal Agriculture Labourers Population Person","Marginal Agriculture Labourers Population Male","Marginal Agriculture Labourers Population Female","Marginal Household Industries Population Person","Marginal Household Industries Population Male","Marginal Household Industries Population Female","Marginal Other Workers Population Person","Marginal Other Workers Population Male","Marginal Other Workers Population Female","Marginal Worker Population 3_6 Person","Marginal Worker Population 3_6 Male","Marginal Worker Population 3_6 Female","Marginal Cultivator Population 3_6 Person","Marginal Cultivator Population 3_6 Male","Marginal Cultivator Population 3_6 Female","Marginal Agriculture Labourers Population 3_6 Person","Marginal Agriculture Labourers Population 3_6 Male","Marginal Agriculture Labourers Population 3_6 Female","Marginal Household Industries Population 3_6 Person","Marginal Household Industries Population 3_6 Male","Marginal Household Industries Population 3-6 Female","Marginal Other Workers Population Person 3_6 Person","Marginal Other Workers Population Person 3_6 Male","Marginal Other Workers Population Person 3_6 Female","Marginal Worker Population 0_3 Person","Marginal Worker Population 0_3 Male","Marginal Worker Population 0_3_Female","Marginal Cultivator Population 0_3 Person","Marginal Cultivator Population 0_3 Male","Marginal Cultivator Population 0_3_Female","Marginal Agriculture Labourers Population 0_3 Person","Marginal Agriculture Labourers Population 0_3 Male","Marginal Agriculture Labourers Population 0_3 Female","Marginal Household Industries Population 0_3 Person","Marginal Household Industries Population 0_3 Male","Marginal Household Industries Population 0_3 Female","Marginal Other Workers Population 0_3 Person","Marginal Other Workers Population 0_3 Male","Marginal Other Workers Population 0_3 Female","Non Working Population Person","Non Working Population Male","Non Working Population Female"
"32","601","0141","000000","0000","000000","KERALA","Thiruvananthapuram","CD BLOCK","Varkala","Total","39332","159846","71705","88141","16968","8561","8407","27754","13018","14736","345","161","184","132782","60115","72667","27064","11590","15474","54003","35662","18341","39328","28016","11312","2087","1652","435","3147","2288","859","946","573","373","33148","23503","9645","14675","7646","7029","903","544","359","2254","1245","1009","414","185","229","11104","5672","5432","11565","6368","5197","742","450","292","1796","1067","729","349","168","181","8678","4683","3995","3110","1278","1832","161","94","67","458","178","280","65","17","48","2426","989","1437","105843","36043","69800"
"32","601","0141","000000","0000","000000","KERALA","Thiruvananthapuram","CD BLOCK","Varkala","Rural","39332","159846","71705","88141","16968","8561","8407","27754","13018","14736","345","161","184","132782","60115","72667","27064","11590","15474","54003","35662","18341","39328","28016","11312","2087","1652","435","3147","2288","859","946","573","373","33148","23503","9645","14675","7646","7029","903","544","359","2254","1245","1009","414","185","229","11104","5672","5432","11565","6368","5197","742","450","292","1796","1067","729","349","168","181","8678","4683","3995","3110","1278","1832","161","94","67","458","178","280","65","17","48","2426","989","1437","105843","36043","69800"
"32","601","0141","000000","0000","000000","KERALA","Thiruvananthapuram","CD BLOCK","Varkala","Urban","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","601","0141","628452","0000","000000","KERALA","Thiruvananthapuram","VILLAGE","Edava","Rural","5847","25994","11486","14508","2917","1491","1426","2473","1156","1317","57","23","34","21746","9573","12173","4248","1913","2335","7095","5152","1943","5211","3998","1213","244","174","70","133","97","36","84","50","34","4750","3677","1073","1884","1154","730","64","38","26","303","197","106","42","15","27","1475","904","571","1561","982","579","50","31","19","295","191","104","37","14","23","1179","746","433","323","172","151","14","7","7","8","6","2","5","1","4","296","158","138","18899","6334","12565"
"32","601","0141","628453","0000","000000","KERALA","Thiruvananthapuram","VILLAGE","Ayiroor","Rural","6508","25307","11413","13894","2680","1373","1307","4163","1974","2189","20","12","8","21089","9580","11509","4218","1833","2385","8979","5685","3294","6919","4735","2184","371","300","71","760","539","221","129","86","43","5659","3810","1849","2060","950","1110","146","93","53","488","307","181","75","29","46","1351","521","830","1719","848","871","127","80","47","423","285","138","64","26","38","1105","457","648","341","102","239","19","13","6","65","22","43","11","3","8","246","64","182","16328","5728","10600"
"32","601","0141","628454","0000","000000","KERALA","Thiruvananthapuram","VILLAGE","Chemmaruthy","Rural","8238","32444","14751","17693","3364","1686","1678","7626","3595","4031","67","29","38","27243","12562","14681","5201","2189","3012","12171","7785","4386","8600","5945","2655","651","532","119","568","445","123","201","121","80","7180","4847","2333","3571","1840","1731","233","131","102","631","372","259","96","48","48","2611","1289","1322","2902","1525","1377","188","107","81","402","271","131","80","41","39","2232","1106","1126","669","315","354","45","24","21","229","101","128","16","7","9","379","183","196","20273","6966","13307"
"32","601","0141","628466","0000","000000","KERALA","Thiruvananthapuram","VILLAGE","Ottoor","Rural","4260","16085","7234","8851","1498","739","759","2988","1401","1587","33","20","13","13703","6249","7454","2382","985","1397","5835","3784","2051","4179","2936","1243","251","216","35","404","302","102","72","45","27","3452","2373","1079","1656","848","808","117","80","37","153","90","63","26","3","23","1360","675","685","1099","648","451","99","69","30","115","72","43","14","2","12","871","505","366","557","200","357","18","11","7","38","18","20","12","1","11","489","170","319","10250","3450","6800"
"32","601","0141","628467","0000","000000","KERALA","Thiruvananthapuram","VILLAGE","Vettoor-Cherunniyoor ","Rural","8694","36818","16409","20409","4091","2026","2065","6486","3002","3484","100","42","58","29828","13433","16395","6990","2976","4014","12750","8206","4544","8983","6437","2546","282","203","79","676","457","219","334","178","156","7691","5599","2092","3767","1769","1998","184","108","76","413","169","244","137","68","69","3033","1424","1609","2894","1437","1457","148","88","60","362","149","213","126","64","62","2258","1136","1122","873","332","541","36","20","16","51","20","31","11","4","7","775","288","487","24068","8203","15865"
"32","601","0141","628468","0000","000000","KERALA","Thiruvananthapuram","VILLAGE","Manamboor","Rural","5785","23198","10412","12786","2418","1246","1172","4018","1890","2128","68","35","33","19173","8718","10455","4025","1694","2331","7173","5050","2123","5436","3965","1471","288","227","61","606","448","158","126","93","33","4416","3197","1219","1737","1085","652","159","94","65","266","110","156","38","22","16","1274","859","415","1390","928","462","130","75","55","199","99","100","28","21","7","1033","733","300","347","157","190","29","19","10","67","11","56","10","1","9","241","126","115","16025","5362","10663"
"32","601","0142","000000","0000","000000","KERALA","Thiruvananthapuram","CD BLOCK","Kilimanoor","Total","55217","213281","98099","115182","21402","10938","10464","36999","17469","19530","612","283","329","178977","83566","95411","34304","14533","19771","77518","52028","25490","54068","38866","15202","4443","3965","478","6727","5366","1361","1099","797","302","41799","28738","13061","23450","13162","10288","1769","1393","376","5237","3594","1643","663","355","308","15781","7820","7961","17597","10466","7131","1291","1049","242","3867","2746","1121","503","277","226","11936","6394","5542","5853","2696","3157","478","344","134","1370","848","522","160","78","82","3845","1426","2419","135763","46071","89692"
