"State/UTs_Code","District_Code","CD Block_Code","Town/Village_Code","Ward_Code","EB_Code","State/UTs_Name","District_Name","Level","Name","Total/Rural/Urban","No of Households","Total Population Person","Total Population Male","Total Population Female","Population in the age group 0-6 Person","Population in the age group 0-6 Male","Population in the age group 0-6 Female","Scheduled Castes population Person","Scheduled Castes population Male","Scheduled Castes population Female","Scheduled Tribes population Person","Scheduled Tribes population Male","Scheduled Tribes population Female","Literates Population Person","Literates Population Male","Literates Population Female","Illiterate Persons","Illiterate Male","Illiterate Female","Total Worker Population Person","Total Worker Population Male","Total Worker Population Female","Main Working Population Person","Main Working Population Male","Main Working Population Female","Main Cultivator Population Person","Main Cultivator Population Male","Main Cultivator Population Female","Main Agricultural Labourers Population Person","Main Agricultural Labourers Population Male","Main Agricultural Labourers Population Female","Main Household Industries Population Person","Main Household Industries Population Male","Main Household Industries Population Female","Main Other Workers Population Person","Main Other Workers Population Male","Main Other Workers Population Female","Marginal Worker Population Person","Marginal Worker Population Male","Marginal Worker Population Female","Marginal Cultivator Population Person","Marginal Cultivator Population Male","Marginal Cultivator Population Female","Marginal Agriculture Labourers Population Person","Marginal Agriculture Labourers Population Male","Marginal Agriculture Labourers Population Female","Marginal Household Industries Population Person","Marginal Household Industries Population Male","Marginal Household Industries Population Female","Marginal Other Workers Population Person","Marginal Other Workers Population Male","Marginal Other Workers Population Female","Marginal Worker Population 3_6 Person","Marginal Worker Population 3_6 Male","Marginal Worker Population 3_6 Female","Marginal Cultivator Population 3_6 Person","Marginal Cultivator Population 3_6 Male","Marginal Cultivator Population 3_6 Female","Marginal Agriculture Labourers Population 3_6 Person","Marginal Agriculture Labourers Population 3_6 Male","Marginal Agriculture Labourers Population 3_6 Female","Marginal Household Industries Population 3_6 Person","Marginal Household Industries Population 3_6 Male","Marginal Household Industries Population 3-6 Female","Marginal Other Workers Population Person 3_6 Person","Marginal Other Workers Population Person 3_6 Male","Marginal Other Workers Population Person 3_6 Female","Marginal Worker Population 0_3 Person","Marginal Worker Population 0_3 Male","Marginal Worker Population 0_3_Female","Marginal Cultivator Population 0_3 Person","Marginal Cultivator Population 0_3 Male","Marginal Cultivator Population 0_3_Female","Marginal Agriculture Labourers Population 0_3 Person","Marginal Agriculture Labourers Population 0_3 Male","Marginal Agriculture Labourers Population 0_3 Female","Marginal Household Industries Population 0_3 Person","Marginal Household Industries Population 0_3 Male","Marginal Household Industries Population 0_3 Female","Marginal Other Workers Population 0_3 Person","Marginal Other Workers Population 0_3 Male","Marginal Other Workers Population 0_3 Female","Non Working Population Person","Non Working Population Male","Non Working Population Female"
"32","596","0085","000000","0000","000000","KERALA","Idukki ","CD BLOCK","Muvattupuzha (Part)","Total","159","642","336","306","51","26","25","28","15","13","1","1","0","567","299","268","75","37","38","258","193","65","154","122","32","15","15","0","8","8","0","4","3","1","127","96","31","104","71","33","16","16","0","21","16","5","4","3","1","63","36","27","71","53","18","12","12","0","15","12","3","1","1","0","43","28","15","33","18","15","4","4","0","6","4","2","3","2","1","20","8","12","384","143","241"
"32","596","0085","000000","0000","000000","KERALA","Idukki ","CD BLOCK","Muvattupuzha (Part)","Rural","159","642","336","306","51","26","25","28","15","13","1","1","0","567","299","268","75","37","38","258","193","65","154","122","32","15","15","0","8","8","0","4","3","1","127","96","31","104","71","33","16","16","0","21","16","5","4","3","1","63","36","27","71","53","18","12","12","0","15","12","3","1","1","0","43","28","15","33","18","15","4","4","0","6","4","2","3","2","1","20","8","12","384","143","241"
"32","596","0085","000000","0000","000000","KERALA","Idukki ","CD BLOCK","Muvattupuzha (Part)","Urban","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","596","0085","628084","0000","000000","KERALA","Idukki ","VILLAGE","Kumaramangalam (Part)","Rural","159","642","336","306","51","26","25","28","15","13","1","1","0","567","299","268","75","37","38","258","193","65","154","122","32","15","15","0","8","8","0","4","3","1","127","96","31","104","71","33","16","16","0","21","16","5","4","3","1","63","36","27","71","53","18","12","12","0","15","12","3","1","1","0","43","28","15","33","18","15","4","4","0","6","4","2","3","2","1","20","8","12","384","143","241"
"32","596","0087","000000","0000","000000","KERALA","Idukki ","CD BLOCK","Kothamangalam (Part)","Total","28","105","49","56","7","3","4","13","8","5","0","0","0","90","44","46","15","5","10","57","34","23","50","31","19","0","0","0","4","3","1","0","0","0","46","28","18","7","3","4","0","0","0","0","0","0","0","0","0","7","3","4","5","2","3","0","0","0","0","0","0","0","0","0","5","2","3","2","1","1","0","0","0","0","0","0","0","0","0","2","1","1","48","15","33"
"32","596","0087","000000","0000","000000","KERALA","Idukki ","CD BLOCK","Kothamangalam (Part)","Rural","28","105","49","56","7","3","4","13","8","5","0","0","0","90","44","46","15","5","10","57","34","23","50","31","19","0","0","0","4","3","1","0","0","0","46","28","18","7","3","4","0","0","0","0","0","0","0","0","0","7","3","4","5","2","3","0","0","0","0","0","0","0","0","0","5","2","3","2","1","1","0","0","0","0","0","0","0","0","0","2","1","1","48","15","33"
"32","596","0087","000000","0000","000000","KERALA","Idukki ","CD BLOCK","Kothamangalam (Part)","Urban","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","596","0087","628084","0000","000000","KERALA","Idukki ","VILLAGE","Kumaramangalam (Part)","Rural","4","15","9","6","1","1","0","11","7","4","0","0","0","13","7","6","2","2","0","9","7","2","9","7","2","0","0","0","3","2","1","0","0","0","6","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","2","4"
"32","596","0087","628085","0000","000000","KERALA","Idukki ","VILLAGE","Kodikulam (Part)","Rural","24","90","40","50","6","2","4","2","1","1","0","0","0","77","37","40","13","3","10","48","27","21","41","24","17","0","0","0","1","1","0","0","0","0","40","23","17","7","3","4","0","0","0","0","0","0","0","0","0","7","3","4","5","2","3","0","0","0","0","0","0","0","0","0","5","2","3","2","1","1","0","0","0","0","0","0","0","0","0","2","1","1","42","13","29"
"32","596","0088","000000","0000","000000","KERALA","Idukki ","CD BLOCK","Devikulam","Total","31945","121577","61034","60543","11254","5677","5577","47810","23917","23893","13599","6908","6691","90209","48795","41414","31368","12239","19129","65793","37287","28506","54819","32005","22814","6354","4146","2208","17357","9114","8243","392","244","148","30716","18501","12215","10974","5282","5692","1778","888","890","3855","1706","2149","169","67","102","5172","2621","2551","8257","4067","4190","358","208","150","3262","1503","1759","120","47","73","4517","2309","2208","2717","1215","1502","1420","680","740","593","203","390","49","20","29","655","312","343","55784","23747","32037"
