"State/UTs_Code","District_Code","CD Block_Code","Town/Village_Code","Ward_Code","EB_Code","State/UTs_Name","District_Name","Level","Name","Total/Rural/Urban","No of Households","Total Population Person","Total Population Male","Total Population Female","Population in the age group 0-6 Person","Population in the age group 0-6 Male","Population in the age group 0-6 Female","Scheduled Castes population Person","Scheduled Castes population Male","Scheduled Castes population Female","Scheduled Tribes population Person","Scheduled Tribes population Male","Scheduled Tribes population Female","Literates Population Person","Literates Population Male","Literates Population Female","Illiterate Persons","Illiterate Male","Illiterate Female","Total Worker Population Person","Total Worker Population Male","Total Worker Population Female","Main Working Population Person","Main Working Population Male","Main Working Population Female","Main Cultivator Population Person","Main Cultivator Population Male","Main Cultivator Population Female","Main Agricultural Labourers Population Person","Main Agricultural Labourers Population Male","Main Agricultural Labourers Population Female","Main Household Industries Population Person","Main Household Industries Population Male","Main Household Industries Population Female","Main Other Workers Population Person","Main Other Workers Population Male","Main Other Workers Population Female","Marginal Worker Population Person","Marginal Worker Population Male","Marginal Worker Population Female","Marginal Cultivator Population Person","Marginal Cultivator Population Male","Marginal Cultivator Population Female","Marginal Agriculture Labourers Population Person","Marginal Agriculture Labourers Population Male","Marginal Agriculture Labourers Population Female","Marginal Household Industries Population Person","Marginal Household Industries Population Male","Marginal Household Industries Population Female","Marginal Other Workers Population Person","Marginal Other Workers Population Male","Marginal Other Workers Population Female","Marginal Worker Population 3_6 Person","Marginal Worker Population 3_6 Male","Marginal Worker Population 3_6 Female","Marginal Cultivator Population 3_6 Person","Marginal Cultivator Population 3_6 Male","Marginal Cultivator Population 3_6 Female","Marginal Agriculture Labourers Population 3_6 Person","Marginal Agriculture Labourers Population 3_6 Male","Marginal Agriculture Labourers Population 3_6 Female","Marginal Household Industries Population 3_6 Person","Marginal Household Industries Population 3_6 Male","Marginal Household Industries Population 3-6 Female","Marginal Other Workers Population Person 3_6 Person","Marginal Other Workers Population Person 3_6 Male","Marginal Other Workers Population Person 3_6 Female","Marginal Worker Population 0_3 Person","Marginal Worker Population 0_3 Male","Marginal Worker Population 0_3_Female","Marginal Cultivator Population 0_3 Person","Marginal Cultivator Population 0_3 Male","Marginal Cultivator Population 0_3_Female","Marginal Agriculture Labourers Population 0_3 Person","Marginal Agriculture Labourers Population 0_3 Male","Marginal Agriculture Labourers Population 0_3 Female","Marginal Household Industries Population 0_3 Person","Marginal Household Industries Population 0_3 Male","Marginal Household Industries Population 0_3 Female","Marginal Other Workers Population 0_3 Person","Marginal Other Workers Population 0_3 Male","Marginal Other Workers Population 0_3 Female","Non Working Population Person","Non Working Population Male","Non Working Population Female"
"32","599","0104","000000","0000","000000","KERALA","Pathanamthitta","CD BLOCK","Veliyanad (Part)","Total","17","83","38","45","9","5","4","24","10","14","0","0","0","72","33","39","11","5","6","34","22","12","8","6","2","0","0","0","3","3","0","0","0","0","5","3","2","26","16","10","0","0","0","20","10","10","0","0","0","6","6","0","18","13","5","0","0","0","13","8","5","0","0","0","5","5","0","8","3","5","0","0","0","7","2","5","0","0","0","1","1","0","49","16","33"
"32","599","0104","000000","0000","000000","KERALA","Pathanamthitta","CD BLOCK","Veliyanad (Part)","Rural","17","83","38","45","9","5","4","24","10","14","0","0","0","72","33","39","11","5","6","34","22","12","8","6","2","0","0","0","3","3","0","0","0","0","5","3","2","26","16","10","0","0","0","20","10","10","0","0","0","6","6","0","18","13","5","0","0","0","13","8","5","0","0","0","5","5","0","8","3","5","0","0","0","7","2","5","0","0","0","1","1","0","49","16","33"
"32","599","0104","000000","0000","000000","KERALA","Pathanamthitta","CD BLOCK","Veliyanad (Part)","Urban","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","599","0104","628295","0000","000000","KERALA","Pathanamthitta","VILLAGE","Peringara (Part)","Rural","17","83","38","45","9","5","4","24","10","14","0","0","0","72","33","39","11","5","6","34","22","12","8","6","2","0","0","0","3","3","0","0","0","0","5","3","2","26","16","10","0","0","0","20","10","10","0","0","0","6","6","0","18","13","5","0","0","0","13","8","5","0","0","0","5","5","0","8","3","5","0","0","0","7","2","5","0","0","0","1","1","0","49","16","33"
"32","599","0114","000000","0000","000000","KERALA","Pathanamthitta","CD BLOCK","Pulikkeezh (Part)","Total","23011","87619","40810","46809","7225","3664","3561","10378","4994","5384","176","87","89","78198","36332","41866","9421","4478","4943","29192","20095","9097","20828","15428","5400","1219","1039","180","2158","1578","580","651","459","192","16800","12352","4448","8364","4667","3697","535","366","169","2226","1192","1034","306","176","130","5297","2933","2364","6970","3964","3006","446","303","143","1962","1073","889","240","136","104","4322","2452","1870","1394","703","691","89","63","26","264","119","145","66","40","26","975","481","494","58427","20715","37712"
"32","599","0114","000000","0000","000000","KERALA","Pathanamthitta","CD BLOCK","Pulikkeezh (Part)","Rural","23011","87619","40810","46809","7225","3664","3561","10378","4994","5384","176","87","89","78198","36332","41866","9421","4478","4943","29192","20095","9097","20828","15428","5400","1219","1039","180","2158","1578","580","651","459","192","16800","12352","4448","8364","4667","3697","535","366","169","2226","1192","1034","306","176","130","5297","2933","2364","6970","3964","3006","446","303","143","1962","1073","889","240","136","104","4322","2452","1870","1394","703","691","89","63","26","264","119","145","66","40","26","975","481","494","58427","20715","37712"
"32","599","0114","000000","0000","000000","KERALA","Pathanamthitta","CD BLOCK","Pulikkeezh (Part)","Urban","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","599","0114","628292","0000","000000","KERALA","Pathanamthitta","VILLAGE","Niranam","Rural","2837","10770","5084","5686","925","486","439","1318","634","684","11","6","5","9452","4456","4996","1318","628","690","3686","2502","1184","2374","1772","602","187","154","33","401","263","138","99","69","30","1687","1286","401","1312","730","582","82","66","16","454","238","216","57","21","36","719","405","314","1083","621","462","72","60","12","406","222","184","44","16","28","561","323","238","229","109","120","10","6","4","48","16","32","13","5","8","158","82","76","7084","2582","4502"
"32","599","0114","628293","0000","000000","KERALA","Pathanamthitta","VILLAGE","Kadapra","Rural","6242","23502","10810","12692","1953","963","990","3172","1509","1663","35","13","22","20890","9580","11310","2612","1230","1382","8482","5482","3000","5950","4294","1656","309","243","66","506","377","129","190","116","74","4945","3558","1387","2532","1188","1344","191","91","100","769","316","453","73","35","38","1499","746","753","2182","1025","1157","161","77","84","687","291","396","57","25","32","1277","632","645","350","163","187","30","14","16","82","25","57","16","10","6","222","114","108","15020","5328","9692"
"32","599","0114","628294","0000","000000","KERALA","Pathanamthitta","VILLAGE","Nedumpuram","Rural","3397","12694","5971","6723","1021","529","492","986","471","515","47","28","19","11454","5368","6086","1240","603","637","4067","2897","1170","2820","2120","700","98","91","7","286","236","50","79","63","16","2357","1730","627","1247","777","470","98","77","21","191","135","56","50","35","15","908","530","378","1009","664","345","79","59","20","169","117","52","36","25","11","725","463","262","238","113","125","19","18","1","22","18","4","14","10","4","183","67","116","8627","3074","5553"
