State/UTs_Code,District_Code,CD Block_Code,Town/Village_Code,Ward_Code,EB_Code,State/UTs_Name,District_Name,Level,Name,Total/Rural/Urban,No of Households,Total Population Person,Total Population Male,Total Population Female,Population in the age group 0-6 Person,Population in the age group 0-6 Male,Population in the age group 0-6 Female,Scheduled Castes population Person,Scheduled Castes population Male,Scheduled Castes population Female,Scheduled Tribes population Person,Scheduled Tribes population Male,Scheduled Tribes population Female,Literates Population Person,Literates Population Male,Literates Population Female,Illiterate Persons,Illiterate Male,Illiterate Female,Total Worker Population Person,Total Worker Population Male,Total Worker Population Female,Main Working Population Person,Main Working Population Male,Main Working Population Female,Main Cultivator Population Person,Main Cultivator Population Male,Main Cultivator Population Female,Main Agricultural Labourers Population Person,Main Agricultural Labourers Population Male,Main Agricultural Labourers Population Female,Main Household Industries Population Person,Main Household Industries Population Male,Main Household Industries Population Female,Main Other Workers Population Person,Main Other Workers Population Male,Main Other Workers Population Female,Marginal Worker Population Person,Marginal Worker Population Male,Marginal Worker Population Female,Marginal Cultivator Population Person,Marginal Cultivator Population Male,Marginal Cultivator Population Female,Marginal Agriculture Labourers Population Person,Marginal Agriculture Labourers Population Male,Marginal Agriculture Labourers Population Female,Marginal Household Industries Population Person,Marginal Household Industries Population Male,Marginal Household Industries Population Female,Marginal Other Workers Population Person,Marginal Other Workers Population Male,Marginal Other Workers Population Female,Marginal Worker Population 3_6 Person,Marginal Worker Population 3_6 Male,Marginal Worker Population 3_6 Female,Marginal Cultivator Population 3_6 Person,Marginal Cultivator Population 3_6 Male,Marginal Cultivator Population 3_6 Female,Marginal Agriculture Labourers Population 3_6 Person,Marginal Agriculture Labourers Population 3_6 Male,Marginal Agriculture Labourers Population 3_6 Female,Marginal Household Industries Population 3_6 Person,Marginal Household Industries Population 3_6 Male,Marginal Household Industries Population 3-6 Female,Marginal Other Workers Population Person 3_6 Person,Marginal Other Workers Population Person 3_6 Male,Marginal Other Workers Population Person 3_6 Female,Marginal Worker Population 0_3 Person,Marginal Worker Population 0_3 Male,Marginal Worker Population 0_3_Female,Marginal Cultivator Population 0_3 Person,Marginal Cultivator Population 0_3 Male,Marginal Cultivator Population 0_3_Female,Marginal Agriculture Labourers Population 0_3 Person,Marginal Agriculture Labourers Population 0_3 Male,Marginal Agriculture Labourers Population 0_3 Female,Marginal Household Industries Population 0_3 Person,Marginal Household Industries Population 0_3 Male,Marginal Household Industries Population 0_3 Female,Marginal Other Workers Population 0_3 Person,Marginal Other Workers Population 0_3 Male,Marginal Other Workers Population 0_3 Female,Non Working Population Person,Non Working Population Male,Non Working Population Female
32,592,0029,000000,0000,000000,KERALA,Malappuram,CD BLOCK,Areekode,Total,51784,267890,132223,135667,38813,19569,19244,26241,12991,13250,1883,941,942,214723,108160,106563,53167,24063,29104,72082,62180,9902,50078,45224,4854,4022,3812,210,8110,7382,728,631,559,72,37315,33471,3844,22004,16956,5048,1767,1458,309,5138,3970,1168,418,318,100,14681,11210,3471,17198,13819,3379,1308,1087,221,4126,3304,822,320,248,72,11444,9180,2264,4806,3137,1669,459,371,88,1012,666,346,98,70,28,3237,2030,1207,195808,70043,125765
32,592,0029,000000,0000,000000,KERALA,Malappuram,CD BLOCK,Areekode,Rural,47284,245828,121413,124415,35765,18055,17710,24320,12072,12248,1841,923,918,196385,99054,97331,49443,22359,27084,66058,57067,8991,46069,41663,4406,3803,3598,205,7715,7030,685,594,527,67,33957,30508,3449,19989,15404,4585,1687,1409,278,4798,3740,1058,410,313,97,13094,9942,3152,15776,12705,3071,1239,1045,194,3859,3118,741,312,243,69,10366,8299,2067,4213,2699,1514,448,364,84,939,622,317,98,70,28,2728,1643,1085,179770,64346,115424
32,592,0029,000000,0000,000000,KERALA,Malappuram,CD BLOCK,Areekode,Urban,4500,22062,10810,11252,3048,1514,1534,1921,919,1002,42,18,24,18338,9106,9232,3724,1704,2020,6024,5113,911,4009,3561,448,219,214,5,395,352,43,37,32,5,3358,2963,395,2015,1552,463,80,49,31,340,230,110,8,5,3,1587,1268,319,1422,1114,308,69,42,27,267,186,81,8,5,3,1078,881,197,593,438,155,11,7,4,73,44,29,0,0,0,509,387,122,16038,5697,10341
32,592,0029,627443,0000,000000,KERALA,Malappuram,VILLAGE,Vettilappara,Rural,1973,8696,4310,4386,979,472,507,629,315,314,934,471,463,7177,3638,3539,1519,672,847,3276,2447,829,2181,1792,389,165,144,21,611,529,82,20,18,2,1385,1101,284,1095,655,440,92,78,14,458,279,179,9,4,5,536,294,242,872,587,285,82,73,9,345,252,93,5,2,3,440,260,180,223,68,155,10,5,5,113,27,86,4,2,2,96,34,62,5420,1863,3557
32,592,0029,627446,0000,000000,KERALA,Malappuram,VILLAGE,Cheekkode,Rural,4318,22413,11086,11327,3199,1617,1582,1700,835,865,23,13,10,18029,9105,8924,4384,1981,2403,5676,5104,572,3562,3317,245,331,322,9,609,573,36,43,41,2,2579,2381,198,2114,1787,327,147,131,16,522,471,51,30,23,7,1415,1162,253,1756,1545,211,97,85,12,466,424,42,25,18,7,1168,1018,150,358,242,116,50,46,4,56,47,9,5,5,0,247,144,103,16737,5982,10755
32,592,0029,627447,0000,000000,KERALA,Malappuram,VILLAGE,Areekode,Rural,6037,31563,15628,15935,4527,2311,2216,2991,1479,1512,35,17,18,25414,12800,12614,6149,2828,3321,8446,7293,1153,6343,5713,630,311,288,23,600,542,58,98,81,17,5334,4802,532,2103,1580,523,87,62,25,195,148,47,51,38,13,1770,1332,438,1611,1270,341,64,43,21,156,117,39,40,32,8,1351,1078,273,492,310,182,23,19,4,39,31,8,11,6,5,419,254,165,23117,8335,14782
32,592,0029,627448,0000,000000,KERALA,Malappuram,VILLAGE,Urangattiri,Rural,6327,31601,15615,15986,4530,2285,2245,2626,1309,1317,118,60,58,25340,12799,12541,6261,2816,3445,9057,7647,1410,6889,6112,777,415,403,12,1733,1538,195,84,71,13,4657,4100,557,2168,1535,633,96,68,28,529,405,124,29,13,16,1514,1049,465,1705,1254,451,83,59,24,458,358,100,19,9,10,1145,828,317,463,281,182,13,9,4,71,47,24,10,4,6,369,221,148,22544,7968,14576
32,592,0029,627452,0000,000000,KERALA,Malappuram,VILLAGE,Kavanoor,Rural,7259,37977,18813,19164,5733,2892,2841,4209,2071,2138,77,35,42,30051,15234,14817,7926,3579,4347,9764,8708,1056,6314,5786,528,396,369,27,647,608,39,90,85,5,5181,4724,457,3450,2922,528,218,193,25,657,592,65,82,77,5,2493,2060,433,2716,2353,363,176,156,20,459,424,35,65,62,3,2016,1711,305,734,569,165,42,37,5,198,168,30,17,15,2,477,349,128,28213,10105,18108
32,592,0029,627453,0000,000000,KERALA,Malappuram,VILLAGE,Kuzhimanna,Rural,6492,34413,16879,17534,5076,2528,2548,3322,1655,1667,68,38,30,27370,13714,13656,7043,3165,3878,9015,7761,1254,6678,6108,570,762,709,53,1134,1060,74,63,56,7,4719,4283,436,2337,1653,684,292,219,73,562,404,158,76,55,21,1407,975,432,1947,1496,451,259,204,55,463,366,97,71,54,17,1154,872,282,390,157,233,33,15,18,99,38,61,5,1,4,253,103,150,25398,9118,16280
32,592,0029,627454,0000,000000,KERALA,Malappuram,VILLAGE,Muthuvallur,Rural,6905,36482,17931,18551,5306,2732,2574,4192,2084,2108,93,51,42,29176,14584,14592,7306,3347,3959,9420,8162,1258,6603,6022,581,726,695,31,1164,1076,88,93,83,10,4620,4168,452,2817,2140,677,334,265,69,758,640,118,82,63,19,1643,1172,471,1858,1487,371,192,163,29,501,450,51,50,38,12,1115,836,279,959,653,306,142,102,40,257,190,67,32,25,7,528,336,192,27062,9769,17293
